CVEGEO,NOM_ENT,NOM_MUN,POB_TOTAL,ALTITUD,AREA,UMBRAL12H,PORCENTA_1,agua_AR,agua_FC,agua_PT,avg_impact,avg_agricultura,avg_construccion,avg_manufactura,semaforo
5032,COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,42260,388.4689265536723,79866.96706,86.93559,5.150258,4,7,1,0.5222578,0,6,4.04,Amarillo
5033,COAHUILA DE ZARAGOZA,SAN PEDRO,101041,1095.9308176100628,708024.8248,49.08141,25.324649,5,7,0,0.4372899,0,2,105.6938775510204,Verde
5034,COAHUILA DE ZARAGOZA,SIERRA MOJADA,6744,1293.7379310344827,787353.7951,58.10796,23.171582,0,3,0,0.34139466,0,0,1.3333333333333337,
5035,COAHUILA DE ZARAGOZA,TORREON,720848,1152.1652173913044,126984.4253,56.4399,3.513804,0,98,5,0.58641464,6,26.98616473616473,58.40894518204517,Amarillo
5036,COAHUILA DE ZARAGOZA,VIESCA,20305,1168.512,435768.4067,44.89956,15.345481,1,3,1,0.5089289,0,1,1.25,Rojo
5037,COAHUILA DE ZARAGOZA,VILLA UNION,6188,402.2518796992481,184608.0356,85.94091,1.783621,1,1,0,0.4432999,0,0,1.3333333333333337,
5038,COAHUILA DE ZARAGOZA,ZARAGOZA,13135,463.2846441947565,791984.9299,92.745,1.927756,1,18,0,0.417909,2,0,2.6,
6001,COLIMA,ARMERIA,27626,53.44252873563219,40694.6624,154.1313,25.436842,1,16,4,0.78068346,10,6,2.5471698113207544,Amarillo
6002,COLIMA,COLIMA,157048,459.3218673218673,74224.51924,124.281,19.637666,0,74,13,0.83289486,28,28.958333333333336,18.80961251862892,Amarillo
6003,COLIMA,COMALA,21661,1000.7164179104476,31253.93102,118.3347,10.160962,0,33,6,0.828764,21,7,23.70714285714286,Rojo
6004,COLIMA,COQUIMATLAN,20837,328.6045627376426,52423.78063,138.4029,11.970011,0,19,9,0.71554273,3,0,2.421052631578948,Amarillo
6005,COLIMA,CUAUHTEMOC,31267,984.0972972972972,40996.04141,117.1224,23.327809,1,33,16,0.87782437,1,21,3.475,Amarillo
6006,COLIMA,IXTLAHUACAN,5623,221.3676470588236,37501.46967,132.7707,13.029192,0,20,6,0.80000746,6,0,1,Amarillo
6007,COLIMA,MANZANILLO,191031,117.77808219178084,135033.7216,141.192,15.044511,0,62,17,0.7903973,27,21.329411764705885,6.875,Verde
6008,COLIMA,MINATITLAN,10231,882.4660194174758,41254.10032,114.7536,5.311221,0,18,8,0.6977636,0,26,1,Amarillo
6009,COLIMA,TECOMAN,116305,39.13384615384616,93388.61084,149.0985,24.469254,0,42,16,0.85050434,36,7.5,73.34444444444445,Amarillo
6010,COLIMA,VILLA DE ALVAREZ,149762,705.8604651162791,28641.43284,123.8859,16.003259,0,36,4,0.8009941,0,10.564814814814817,4.809523809523809,Amarillo
7001,CHIAPAS,ACACOYAGUA,17994,290.09420289855075,25022.37606,119.3481,2.545423,1,2,0,0.7643295,3,0,1.0303030303030305,
7002,CHIAPAS,ACALA,21187,455.8618421052632,30568.9826,103.7772,2.791903,17,8,0,0.8539212,5,0,1,Amarillo
7003,CHIAPAS,ACAPETAHUA,26899,16.54901960784314,56567.01717,123.1713,20.352407,2,1,0,0.77618575,2,6,21.416666666666664,Amarillo
7004,CHIAPAS,ALTAMIRANO,36160,1116.8911917098446,95818.47619,85.09383,2.496691,3,2,1,0.796241,0,0,1,
7005,CHIAPAS,AMATAN,24512,565.3311688311688,31606.19311,220.7277,3.492235,4,2,0,0.81440187,0,0,1,
7006,CHIAPAS,AMATENANGO DE LA FRONTERA,31735,1062.296,25562.20144,121.9824,1.292852,1,1,0,0.78249997,0,0,1.025,Verde
7007,CHIAPAS,AMATENANGO DEL VALLE,11283,2182.8571428571427,15267.76541,79.68735,5.122363,2,2,0,0.82903516,0,0,4.015686274509804,
7008,CHIAPAS,ANGEL ALBINO CORZO,31947,1120.974358974359,58505.68585,116.9685,1.268831,4,1,4,0.7089524,0,0,1,
7009,CHIAPAS,ARRIAGA,41135,82.65333333333334,81176.06813,122.3622,5.022833,4,6,0,0.8058022,26,0,11.26153846153846,Verde
7010,CHIAPAS,BEJUCAL DE OCAMPO,7365,1968.5,7938.487332,116.289,2.950793,1,1,0,0.9006629,0,0,2,
7011,CHIAPAS,BELLA VISTA,20157,1421.5729166666667,21539.45918,119.5011,1.413698,1,2,0,0.88694066,0,0,3,
7012,CHIAPAS,BERRIOZABAL,64632,883.3577405857741,35281.57552,116.9595,2.806728,2,4,1,0.85238296,0,3.5,7.012077295,Rojo
7013,CHIAPAS,BOCHIL,37263,1294.790123,36586.90557,119.4102,1.236207,1,1,0,0.82273185,0,0,1.027777777777778,
7014,CHIAPAS,EL BOSQUE,24273,1103.5967741935483,15943.31466,118.9314,1.203064,1,2,0,0.834347,0,0,1,
7015,CHIAPAS,CACAHOATAN,50112,852.2894736842105,17597.33166,137.3121,2.650293,5,3,0,0.78155875,0,1,1.0434782608695652,
7016,CHIAPAS,CATAZAJA,17619,19.80246913580247,62911.06787,162.4014,37.978912,1,8,0,0.80099624,6,0,1,Amarillo
7017,CHIAPAS,CINTALAPA DE FIGUEROA,88106,664.5036572622779,244789.5979,113.8653,1.756204,2,9,0,0.7391681,0,6,1.0628571428571427,Amarillo
7018,CHIAPAS,COAPILLA,9900,1373.8048780487804,15522.85515,127.9278,1.280176,1,7,0,0.79125,0,0,1.0555555555555556,
7019,CHIAPAS,COMITAN DE DOMINGUEZ,166178,1584.3005319148936,98250.06762,83.64015,5.787658,1,9,1,0.84325665,12,5.866666666666666,13.075949367088608,Rojo
7020,CHIAPAS,LA CONCORDIA,49920,855.2558425584256,258788.9042,116.7705,5.749555,1,5,1,0.7409716,0,0,1.4504504504504503,Amarillo
7021,CHIAPAS,COPAINALA,22192,705.2339181,34693.58424,134.1639,2.822552,1,1,0,0.7629744,7,6,1,
7022,CHIAPAS,CHALCHIHUITAN,21915,1323.5079365079366,18562.24272,107.9622,1.288651,1,3,0,0.7512581,0,0,1,
7023,CHIAPAS,CHAMULA,101967,2247.1625,34549.68734,97.1532,6.07529,1,3,0,0.83914363,0,0,1.1724137931034482,
7024,CHIAPAS,CHANAL,13678,2019.9,40808.42073,80.73738,5.764134,1,1,0,0.7785703,0,0,1,
7025,CHIAPAS,CHAPULTENANGO,7472,691.0571428571428,18153.90073,186.8724,4.249361,3,3,0,0.79096407,0,0,1,
7026,CHIAPAS,CHENALHO,47371,1483.5578231292518,25184.58269,93.1905,1.31678,1,1,1,0.9342582,0,0,1.0196078431372548,
7027,CHIAPAS,CHIAPA DE CORZO,112075,502.3333333333333,79175.3869,103.0437,3.715923,4,9,2,0.8720243,1,5.7,1.076271186440678,Amarillo
7028,CHIAPAS,CHIAPILLA,6156,475.05555555555554,5159.154502,101.0772,3.116326,3,7,1,0.9565476,0,0,1,
7029,CHIAPAS,CHICOASEN,5402,707.56,11555.37875,108.6399,1.201987,2,3,0,0.80867356,0,0,1,Amarillo
7030,CHIAPAS,CHICOMUSELO,36785,807.6907216494845,100300.6791,108.7272,2.033718,1,2,0,0.85653394,0,0,1.0158730158730158,
7031,CHIAPAS,CHILON,137262,976.2696929238986,167691.2016,111.0816,3.031792,6,2,0,0.7811073,0,4.75,1.1162790697674418,Amarillo
7032,CHIAPAS,ESCUINTLA,30896,464.4274193548387,42066.12722,115.1856,2.319308,2,3,0,0.8032824,0,0,1,
7033,CHIAPAS,FRANCISCO LEON,7245,614.3269230769231,21025.19534,173.0448,2.471969,1,2,0,0.865426,0,0,1,
7034,CHIAPAS,FRONTERA COMALAPA,80897,652.6109324758843,76993.39537,119.988,7.680481,3,2,2,0.90187424,0,1,2.0064102564102564,Verde
7035,CHIAPAS,FRONTERA HIDALGO,14556,42.4,9518.610355,142.227,7.711389,2,9,2,0.94463134,0,6,2,Amarillo
7036,CHIAPAS,LA GRANDEZA,7701,2146.5714285714284,4909.633632,102.6387,2.243679,1,1,1,0.9462798,0,0,1,
7037,CHIAPAS,HUEHUETAN,36333,128.51694915254237,30645.28752,143.5131,14.57549,2,2,0,0.9019667,0,0,2.074074074074074,Amarillo
7038,CHIAPAS,HUIXTAN,22975,2056.176470588235,31173.48682,74.99043,2.482263,1,1,0,0.8983543,0,0,1,
7039,CHIAPAS,HUITIUPAN,27893,578.6764705882352,33942.38271,163.3356,10.669878,1,1,0,0.8599088,0,0,1,Amarillo
7040,CHIAPAS,HUIXTLA,53242,239.09606986899564,40025.7903,124.7454,30.01905,3,2,2,0.7621473,0,6,7,Amarillo
7041,CHIAPAS,LA INDEPENDENCIA,46409,1205.104,51688.4699,87.24564,25.434472,1,1,1,0.8420923,0,6,1.0930232558139534,Verde
7042,CHIAPAS,IXHUATAN,11377,922.3921568627452,9443.412011,194.922,2.977041,1,3,1,0.8039814,0,0,1,
7043,CHIAPAS,IXTACOMITAN,10961,265.6,12528.65086,186.5907,3.639495,1,2,0,0.9033528,0,0,1,
